FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,FICO,Fair Isaac,,478.84,79480.58146884266,1466802.87023474,38058481.63054062
Equities,CI,Cigna,,319.08,61622.83856236681,27151.432685551532,19662615.32848
Equities,DFS,Discover Financial,,101.79,32339.164907553637,-77635.9679344089,3291803.595939885
Equities,NFLX,Netflix,,291.88,60982.885434740725,-370241.43209678424,17799684.600692123
Equities,PRU,Prudential Financial,,99.82,35118.391868875704,181225.2257463347,3505517.8763511726
Equities,HIG,Hartford (The),,71.17,96860.79936369434,147643.71779153132,6893583.090714127
Equities,RF,Regions Financial Corporation,,21.3,102200.31656527371,19742.960057554712,2176866.74284033
Equities,PFE,Pfizer,,44.75,181162.28826373877,11919.23790358529,8107012.399802309
Equities,SO,Southern Company,,62.87,96781.0867420598,-44970.87190290722,6084626.923473299
Equities,TMO,Thermo Fisher Scientific,,513.03,185171.60109179144,-175921.3437719692,94998586.50812176
Equities,ON,ON Semiconductor,,61.43,185298.2677234299,25597.169645537364,11382872.586250298
Equities,WHR,Whirlpool Corporation,,131.36,21666.477485398376,-11724.98957368203,2846108.482481931
Equities,K,Kellogg's,,74.86,145305.73567945263,123988.23295387097,10877587.372963823
Equities,A,Agilent Technologies,,137.66,172890.9435683246,-734745.3776336517,23800167.291615564
Equities,LYB,LyondellBasell,,72.51,3494.934378344009,-537.8554547105805,253417.6917737241
Equities,CLX,Clorox,,142.75,27880.581370408272,-18464.309549081663,3979952.990625781
Equities,CNC,Centene Corporation,,85.13,111444.79676744058,-69539.9807695238,9487295.548812216
Equities,ATO,Atmos Energy,,103.88,48744.814106393766,23180.321175957717,5063611.289372184
Equities,LUV,Southwest Airlines,,35.78,208997.07582497172,-251061.76749706676,7477915.373017488
Equities,ZTS,Zoetis,,149.77,189974.1500510585,88547.46904770799,28452428.453147035
Equities,PGR,Progressive Corporation,,128.12,83652.80014265017,-115348.77700967925,10717596.75427634
Equities,CHTR,Charter Communications,,367.62,2779.022219999376,-30352.791893643618,1021624.1485161706
Equities,NTAP,NetApp,,67.72,119850.45177054039,10115.92751864934,8116272.593900994
Equities,FTNT,Fortinet,,57.16,126570.40321681341,170764.36369663538,7234764.247873054
Equities,MSFT,Microsoft,,229.91,169179.392870573,-28624.802428970143,38896034.21487344
Equities,MO,Altria,,43.48,106703.32896944312,36920.38849699194,4639460.743591386
Equities,NVDA,Nvidia,,134.9,182856.93219165635,-17114.57285336697,24667400.152654443
Equities,FFIV,"F5, Inc.",,142.91,195165.57102922432,10986.351128518621,27891111.755786445
Equities,IDXX,Idexx Laboratories,,359.68,78897.47818181725,391596.2250419375,28377844.95243603
Equities,INTC,Intel,,27.5,86814.68863608266,27501.946417644103,2387403.9374922733
