FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,POOL,X_Pool Corporation,,300.54,44486.99501519126,109227.16581749872,13370121.481865583
Equities,WHR,X_Whirlpool Corporation,,131.36,105886.84907049785,-5121.530088572974,13909296.493900599
Equities,AVGO,X_Broadcom Inc.,,460.45,4071.7575285863827,1055.8089972756395,1874840.7540375998
Equities,NVR,"X_NVR, Inc.",,4237.75,46464.676332801166,-2805412.8909796947,196905682.12932813
Equities,MA,X_Mastercard,,326.66,145800.8042947137,-1168849.5482073682,47627290.73091117
Equities,RJF,X_Raymond James,,116.67,50760.865504182155,130103.70436198673,5922270.178372932
Equities,O,X_Realty Income,,60.04,49943.62476352315,22998.942156264515,2998615.2308019297
Equities,J,X_Jacobs Solutions,,114.47,89898.64839869633,56438.97574818984,10290698.282198768
Equities,SPG,X_Simon Property Group,,104.02,131178.489441612,-111880.44313274704,13645186.47171648
Equities,VLO,X_Valero Energy,,121.67,71140.18735259275,-85775.24579552666,8655626.59518996
Equities,COST,X_Costco,,498.64,84167.28336349517,217701.4408636422,41969174.17637323
Equities,K,X_Kellogg's,,74.86,136812.2396105678,125895.224108479,10241764.257247105
Equities,ANET,X_Arista Networks,,120.86,37209.424944837985,4260.032459824542,4497131.098833119
Equities,GRMN,X_Garmin,,86.12,24949.627184887624,-10142.91207097857,2148661.8931625225
Equities,MTB,X_M&T Bank,,164.03,127373.57339728628,131710.4182317762,20893087.244356867
Equities,CMG,X_Chipotle Mexican Grill,,1498.33,87342.60415793065,98051.8630303225,130868044.08795223
Equities,WRB,X_Berkley,,73.52,24340.566140476047,-60712.81462355715,1789518.422647799
Equities,VTRS,X_Viatris,,9.68,12115.697167231883,785.7996732753237,117279.94857880463
Equities,MCO,X_Moody's Corporation,,262.28,85371.11405805303,-67366.3563806312,22391135.79514615
Equities,KMI,X_Kinder Morgan,,17.28,117668.22048018742,-9652.211631563521,2033306.8498976387
Equities,ALLE,X_Allegion,,103.54,98650.86334591296,-326942.68396245973,10214310.39083583
Equities,PPL,X_PPL Corporation,,25.82,139987.56040500329,27144.8214594764,3614478.809657185
Equities,CFG,X_Citizens Financial Group,,38.99,75055.30707255282,27027.141888430506,2926406.422758835
Equities,ABBV,X_AbbVie,,142.12,52445.13469476379,53767.28987888102,7453502.54281983
Equities,MAS,X_Masco,,45.26,114662.2810842105,2830.315186305089,5189614.841871367
Equities,FOX,X_Fox Corporation (Class B),,26.99,144009.22066343942,-20059.522235472614,3886808.86570623
Equities,CSX,X_CSX,,28.76,55719.92772076434,1898.949665447884,1602505.1212491824
Equities,MKC,X_McCormick & Company,,77.56,42755.10504155229,-22434.584283553926,3316085.9470227957
Equities,QRVO,X_Qorvo,,86.08,59364.38803886222,92787.37256495695,5110086.52238526
Equities,HST,X_Host Hotels & Resorts,,18.43,4080.0124855627364,2074.037302916382,75194.63010892124
Equities,CDAY,X_Ceridian,,66.19,12564.4572658589,-6766.1342108832005,831641.4264272006
Equities,SEE,X_Sealed Air,,47.01,102980.58828001039,-11721.00703680007,4841117.455043288
Equities,MNST,X_Monster Beverage,,46.86,89398.243225486,21768.600151442097,4189201.677546274
Equities,LNC,X_Lincoln Financial,,51.06,154749.64199841084,-238502.0054275343,7901516.720438858
Equities,LOW,X_Lowe's,,192.08,112718.54827716584,59956.86693844751,21650978.753078017
Equities,WAB,X_Wabtec,,92.68,8240.098053796102,12727.492666141876,763692.2876258228
Equities,EXPE,X_Expedia Group,,93.47,71133.27382612505,1673.0734051824518,6648827.104527908
Equities,SHW,X_Sherwin-Williams,,222.77,93451.06594650788,-129623.95721861033,20818093.960903563
Equities,GPC,X_Genuine Parts Company,,174.88,147555.96292832974,538708.5140975888,25804586.796906304
Equities,HWM,X_Howmet Aerospace,,35.41,78986.7303325412,24710.80096086513,2796920.1210752837
Equities,VRSN,X_Verisign,,200.46,69601.61815264376,-6620.176252847269,13952340.374878969
Equities,TGT,X_Target Corporation,,159.75,100660.79058921173,-29192.52544963601,16080561.296626573
Equities,HON,X_Honeywell,,199.81,52213.634745058174,-144665.37881707534,10432806.358410073
