FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,FICO,Fair Isaac,,702.69,80823.68454569894,48691.58136249428,56793994.893417194
Equities,CI,Cigna,,254.33,62117.903080634875,-553436.4331604681,15798446.29049787
Equities,DFS,Discover Financial,,97.39,32634.265400659664,59907.966191767184,3178251.107370245
Equities,NFLX,Netflix,,345.48,62270.571860255164,-112753.04263410755,21513237.166280955
Equities,PRU,Prudential Financial,,80.38,36326.50216697072,101603.34205363599,2919924.2441811063
Equities,HIG,Hartford (The),,69.26,97478.57218136218,-207274.2390169196,6751365.909281145
Equities,RF,Regions Financial Corporation,,18.35,103113.18987604757,-39124.920214939324,1892127.0342254732
Equities,PFE,Pfizer,,39.92,183404.8882182864,519.9576507519744,7321523.137673993
Equities,SO,Southern Company,,68.22,100467.79549265817,-15280.909567344981,6853913.00850914
Equities,TMO,Thermo Fisher Scientific,,575.99,179808.06090834958,1479830.3285574436,103567645.00260028
Equities,ON,ON Semiconductor,,82.32,186596.87368615455,-165690.23219752964,15360654.641844241
Equities,WHR,Whirlpool Corporation,,128.58,21057.167309068453,-4229.628140690253,2707530.572600022
Equities,K,Kellogg's,,66.37,146499.78707338948,-10374.979889540406,9723190.86806086
Equities,A,Agilent Technologies,,137.85,169415.664356959,-56825.012302943294,23353949.331606798
Equities,LYB,LyondellBasell,,91.38,3440.6779278307595,574.2994101496777,314409.14904517477
Equities,CLX,Clorox,,155.96,28484.9777549936,-2394.0812344963524,4442517.130668802
Equities,CNC,Centene Corporation,,63.21,107535.6024461841,-31453.180957159933,6797325.430623297
Equities,ATO,Atmos Energy,,110.94,48764.469273372146,1816.1374288027139,5409930.221187905
Equities,LUV,Southwest Airlines,,32.37,198488.04496675453,-7195.115107975473,6425058.015573843
Equities,ZTS,Zoetis,,165.72,196459.94567128003,10993.134891010515,32557342.196644526
Equities,PGR,Progressive Corporation,,142.85,82104.13677781163,-229.8016605889279,11728575.93871039
Equities,CHTR,Charter Communications,,357.61,2774.9273935455453,1910.9190117873823,992341.7852058226
Equities,NTAP,NetApp,,62.93,119671.3031131853,-11495.9693424747,7530915.104912751
Equities,FTNT,Fortinet,,66.46,127789.29655790352,104227.05091859674,8492876.649238268
Equities,MSFT,Microsoft,,287.06,177004.60622384236,-1667691.411664105,50810942.26261619
