FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,FICO,Fair Isaac,,837.97,83624.54584011874,-526419.4233903291,70074860.6776443
Equities,CI,Cigna,,295.1,63273.05362326035,-12884.371436976435,18671878.12422413
Equities,DFS,Discover Financial,,104.72,31466.693884457567,-41710.530132103304,3295192.183580396
Equities,NFLX,Netflix,,438.97,60752.07371695983,1892.6560858032556,26668337.79953386
Equities,PRU,Prudential Financial,,95.19,36268.628619756586,-46044.194163563596,3452410.7583146296
Equities,HIG,Hartford (The),,71.88,101673.44889488089,390.59184600930575,7308287.506564038
Equities,RF,Regions Financial Corporation,,20.37,104876.69513549707,8332.562350899105,2136338.2799100755
Equities,PFE,Pfizer,,36.06,182880.40919665835,6843.546958071151,6594667.555631501
Equities,SO,Southern Company,,71.6,96950.47606303323,21760.051094579045,6941654.086113179
Equities,TMO,Thermo Fisher Scientific,,548.66,179456.65655150343,353366.6727546812,98460689.18354787
Equities,ON,ON Semiconductor,,107.75,181621.93253318119,18066.169572976076,19569763.230450273
Equities,WHR,Whirlpool Corporation,,142.4,21399.904283254036,5437.77597469441,3047346.3699353747
Equities,K,Kellogg's,,66.89,144760.30479580245,-8232.32099930944,9683016.787791226
Equities,A,Agilent Technologies,,121.77,172085.08172221083,-6890.118784272682,20954800.40131361
Equities,LYB,LyondellBasell,,97.59,3341.3783863253793,4961.3258550143455,326085.1167214938
Equities,CLX,Clorox,,150.37,27645.538331958425,-12381.73148976889,4157059.5989765883
Equities,CNC,Centene Corporation,,68.09,108714.91246488718,8770.572287243373,7402398.389734169
Equities,ATO,Atmos Energy,,120.94,50140.33096185907,-61138.379644614266,6063971.626527236
Equities,LUV,Southwest Airlines,,34.16,209507.22295401138,10039.69549950057,7156766.736109028
Equities,ZTS,Zoetis,,188.09,187241.26287577229,370827.7702967098,35218209.13430401
Equities,PGR,Progressive Corporation,,125.98,82686.96707640677,44515.74559198536,10416904.112285726
Equities,CHTR,Charter Communications,,405.19,2739.4388976123514,-5007.344879644683,1109993.2469235486
Equities,NTAP,NetApp,,78.01,120316.23827966356,-378.0036670192759,9385869.748196555
Equities,FTNT,Fortinet,,77.72,128969.28904768224,-31900.643117902073,10023493.144785862
Equities,MSFT,Microsoft,,335.21,172498.65919404768,-85626.7521829842,57823275.548436716
Equities,MO,Altria,,45.42,104841.54787510169,-50.775848027495265,4761903.104487119
Equities,NVDA,Nvidia,,467.29,182892.96666445007,-1367923.5398200564,85464054.39263088
Equities,FFIV,"F5, Inc.",,158.24,195145.7793680308,353285.11063643376,30879868.1271972
Equities,IDXX,Idexx Laboratories,,554.73,81034.97759071657,-721109.1755856224,44952533.118898205
Equities,INTC,Intel,,35.64,89269.4006009387,-37189.32304905731,3181561.437417455
Equities,SYK,Stryker Corporation,,283.41,85095.61224365722,248757.2947148016,24116947.465974893
Equities,VLO,Valero Energy,,127.89,35867.13088595855,35001.92135510699,4587047.369005239
Equities,NOC,Northrop Grumman,,443.07,154355.91636638527,20355.87368116325,68390475.86445431
Equities,DHI,D.R. Horton,,126.76,29513.529913088165,-10928.54582841221,3741135.051783056
Equities,ANSS,Ansys,,342.1,39641.67366399159,51207.0161913052,13561416.560451524
Equities,TJX,TJX Companies,,86.2,125602.5227373431,-23858.055902331304,10826937.459958976
Equities,EMR,Emerson Electric,,90.86,9743.776041103902,41.27585065460332,885319.4910947005
Equities,MLM,Martin Marietta Materials,,446.46,170783.60938096853,113320.9609397032,76248050.2442272
Equities,DHR,Danaher Corporation,,255.06,161095.11349699134,626794.4301155438,41088919.64854261
Equities,EA,Electronic Arts,,136.35,30707.376565702332,-10383.933910052641,4186950.7947335127
Equities,SBUX,Starbucks,,101.03,99862.58014278208,20474.132269150687,10089116.471825274
Equities,MRNA,Moderna,,117.66,6955.0627318304605,-668.2756772651053,818332.681027172
Equities,TROW,T. Rowe Price,,123.26,6712.785499978846,-5216.2629253190535,827417.9407273926
Equities,AMP,Ameriprise Financial,,347.12,20627.688261169234,7897.548462576549,7160283.1492170645
Equities,ATVI,Activision Blizzard,,91.77,82550.4728612791,162303.09412558153,7575656.894479582
Equities,JPM,JPMorgan Chase,,157.96,155609.95696787073,478084.99279114156,24580148.802644864
Equities,WY,Weyerhaeuser,,34.06,76942.06205589823,3722.811470499725,2620646.633623894
Equities,GWW,W. W. Grainger,,736.56,7715.8814869520975,79340.81480490719,5683209.668029437
Equities,LDOS,Leidos,,93.53,106328.99358445549,-128870.74022436014,9944950.769954123
Equities,PTC,PTC,,145.81,115476.69938809687,-50302.54751182757,16837657.537778404
Equities,JNJ,Johnson & Johnson,,166.32,9547.906842395694,-1302.4346254589927,1588007.8660272518
Equities,PEG,Public Service Enterprise Group,,63.12,153971.68515080088,2716.610240132246,9718692.766718552
Equities,RTX,RTX Corporation,,87.32,140057.39661357854,304680.3941924444,12229811.872297678
Equities,TTWO,Take-Two Interactive,,152.94,151621.18651919483,-35058.36853777266,23188944.266245656
Equities,AJG,Arthur J. Gallagher & Co.,,214.8,172768.78124578536,-94715.48566097896,37110734.21159469
