FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,HRL,SEC-Hormel Foods,,43.77,14699.288265099773,337.8471371013172,643387.847363417
Equities,CTSH,SEC-Cognizant,,62.08,45173.4897399606,-36461.26043915563,2804370.2430567537
Equities,MRNA,SEC-Moderna,,138.81,35052.1650816181,8709.98098356713,4865591.034979409
Equities,PANW,SEC-Palo Alto Networks,,188.37,38877.78178510724,22245.174519529715,7323407.754860651
Equities,LVS,SEC-Las Vegas Sands,,57.27,21984.045962134503,-7739.832094973149,1259026.312251443
Equities,CB,SEC-Chubb Limited,,209.13,28114.097902824433,-18625.131953343676,5879501.294417674
Equities,AAP,SEC-Advance Auto Parts,,142.66,3577.162659807167,168.5878198429708,510318.02504809044
Equities,ROL,"SEC-Rollins, Inc.",,34.98,5744.150769802144,920.7158868998694,200930.393927679
Equities,DD,SEC-DuPont,,72.31,55561.374890149156,3534.2947444518945,4017643.0183066856
Equities,DGX,SEC-Quest Diagnostics,,136.97,57074.76219000924,-80999.1718799688,7817530.177165566
Equities,TFX,SEC-Teleflex,,237.2,8616.990582564447,3189.5707543557037,2043950.1661842868
Equities,MGM,SEC-MGM Resorts,,43.01,76035.03130874211,21841.412716497784,3270266.6965889977
Equities,IPG,SEC-Interpublic Group of Companies (The),,35.26,69940.0531169793,1056.7091022911923,2466086.27290469
Equities,STX,SEC-Seagate Technology,,63.12,35402.18310937276,-2753.086942226742,2234585.7978636087
Equities,CPT,SEC-Camden Property Trust,,112.59,68671.64246347165,-107527.03700439128,7731740.224962274
Equities,HPE,SEC-Hewlett Packard Enterprise,,15.36,70769.38240250797,-2784.1541898341143,1087017.7137025222
Equities,NTRS,SEC-Northern Trust,,93.57,7276.633777411443,477.7224469251752,680874.6225523887
Equities,NTAP,SEC-NetApp,,63.62,5239.898179457747,964.4021897301961,333362.32217710186
Equities,KR,SEC-Kroger,,42.66,56496.01535514871,-5767.503291523718,2410120.0150506436
Equities,VTRS,SEC-Viatris,,11.01,47468.90173064254,400.14201227909166,522632.60805437434
Equities,CFG,SEC-Citizens Financial Group,,40.62,39520.320874426645,4060.37100079531,1605315.4339192102
Equities,ADBE,SEC-Adobe Inc.,,323.95,26831.957525377795,-324969.2316157656,8692212.640346136
Equities,CHTR,SEC-Charter Communications,,367.61,29372.13631946988,-31889.831941172793,10797491.032400323
Equities,ATO,SEC-Atmos Energy,,111.38,41389.002253162056,-46122.57939041578,4609907.070957189
Equities,AMT,SEC-American Tower,,194.95,36949.14528000069,-121225.72217445851,7203235.872336133
Equities,REG,SEC-Regency Centers,,61.54,4514.621015746173,-1477.1444259687476,277829.77730901947
Equities,PHM,SEC-PulteGroup,,54.4,9129.067316900278,3393.1603769741564,496621.26203937514
Equities,WMT,SEC-Walmart,,140.51,76136.05569667747,319.6807338108476,10697877.185940152
Equities,SPG,SEC-Simon Property Group,,118.32,25448.133253605716,-18372.23223704112,3011023.126566628
Equities,RJF,SEC-Raymond James,,107.53,87225.98539910879,-37807.958997800306,9379410.209966168
Equities,RTX,SEC-RTX Corporation,,96.82,46321.180746519974,3428.2041483380813,4484816.719878064
Equities,META,SEC-Meta Platforms,,174.94,83009.67111462216,481474.03403637407,14521711.864792
Equities,AJG,SEC-Arthur J. Gallagher & Co.,,186.29,2330.09603128764,-5706.576892105344,434073.58966857445
Equities,NEM,SEC-Newmont,,42.77,68240.56510486323,38320.93056239792,2918648.9695350006
Equities,LYV,SEC-Live Nation Entertainment,,72.06,82803.54539015822,-166864.97930914586,5966823.4808148015
Equities,AOS,SEC-A. O. Smith,,64.8,13964.807989490231,-661.0772143933907,904919.557718967
Equities,ABC,SEC-AmerisourceBergen,,154.71,87367.80925053969,-228299.32155586267,13516673.769150997
Equities,PFE,SEC-Pfizer,,39.69,70860.51419459208,1843.979866670543,2812453.8083833596
Equities,TRV,SEC-Travelers Companies (The),,183.1,61842.873480052556,-61721.48833120169,11323430.134197623
Equities,LH,SEC-LabCorp,,204.15,79208.81587832431,-64572.660361293856,16170479.76155991
Equities,PNW,SEC-Pinnacle West,,72.13,67058.2500128245,-10855.130438780721,4836911.573425031
