FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,FICO,Fair Isaac,,598.58,80471.52947066954,57132.656614420266,48168648.11055338
Equities,CI,Cigna,,328.38,64218.75379277242,11009.473248561131,21088154.370470606
Equities,DFS,Discover Financial,,95.86,32406.524802719145,26316.548756946453,3106489.467588657
Equities,NFLX,Netflix,,294.88,59689.125016653095,1940.6406271316423,17601129.184910666
Equities,PRU,Prudential Financial,,95.45,37198.222471883586,1488.435292413103,3550570.3349412885
Equities,HIG,Hartford (The),,74.95,100886.28675623961,4964.103512292222,7561427.192380159
Equities,RF,Regions Financial Corporation,,21.11,104638.1032474539,25743.027363822763,2208910.3595537515
Equities,PFE,Pfizer,,49.68,185412.3768872766,-41310.86142078771,9211286.8837599
Equities,SO,Southern Company,,69.29,96850.83528599002,26074.99494443494,6710794.376966249
Equities,TMO,Thermo Fisher Scientific,,549.97,183137.1548153135,-149208.13941350757,100719941.03377797
Equities,ON,ON Semiconductor,,62.37,183505.8256903733,-83305.57250878679,11445258.348308584
Equities,WHR,Whirlpool Corporation,,136.01,21672.82446640181,11769.841572772946,2947720.85567531
Equities,K,Kellogg's,,69.99,146824.09732853284,-8296.445981576037,10276218.572024012
Equities,A,Agilent Technologies,,149.12,166427.26001095376,79743.38743064935,24817633.012833424
Equities,LYB,LyondellBasell,,79.82,3482.308663444699,208.5631607150815,277957.87751615583
Equities,CLX,Clorox,,137.16,27592.373835166196,2619.3308130106625,3784569.995231395
Equities,CNC,Centene Corporation,,82.01,106061.46492280526,-22839.304028882998,8698100.73831926
Equities,ATO,Atmos Energy,,109.95,48567.91760358831,-6469.9895901096315,5340042.540514534
Equities,LUV,Southwest Airlines,,33.14,203630.3280274744,9412.214530782243,6748309.070830502
Equities,ZTS,Zoetis,,145.57,194920.2909246399,62398.35774445748,28374546.74989983
Equities,PGR,Progressive Corporation,,129.42,84935.0267995595,1015.7899489802356,10992291.16839899
Equities,CHTR,Charter Communications,,339.1,2793.7635952331643,8762.06869764115,947365.235143566
Equities,NTAP,NetApp,,58.72,122704.8870443978,184655.6870821625,7205230.967247038
Equities,FTNT,Fortinet,,48.89,127439.18889610104,9689.553714144544,6230501.94513038
Equities,MSFT,Microsoft,,238.19,175955.5116863711,505192.33443284826,41910843.32857673
Equities,MO,Altria,,43.84,104132.80166305127,-425.7766423138375,4565182.024908168
Equities,NVDA,Nvidia,,146.1,178298.57138325268,-176731.07181672603,26049421.279093217
Equities,FFIV,"F5, Inc.",,143.51,203359.3187633384,40642.17626087807,29184095.835726693
Equities,IDXX,Idexx Laboratories,,407.96,81129.97756444542,296335.79305177217,33097785.647191152
Equities,INTC,Intel,,25.91,86823.42426585083,-34772.61107369272,2249594.922728195
Equities,SYK,Stryker Corporation,,243.22,85957.23197665064,-74925.08703895714,20906517.96136097
Equities,VLO,Valero Energy,,123.8,36000.963463891225,22406.467223291507,4456919.2768297335
Equities,NOC,Northrop Grumman,,538.94,157713.87879984867,-151570.226403977,84998317.84039044
Equities,DHI,D.R. Horton,,88.53,30053.50102813323,-18592.614111301733,2660636.446020635
Equities,ANSS,Ansys,,241.59,40253.71372462407,-73951.95494455891,9724894.698731929
Equities,TJX,TJX Companies,,78.67,125824.87181378607,1222.9199204363476,9898642.66559055
Equities,EMR,Emerson Electric,,94.37,9801.103611457524,-29.09374195446531,924930.1478132466
Equities,MLM,Martin Marietta Materials,,336.8,170365.59584714,346772.32328516606,57379132.681316756
Equities,DHR,Danaher Corporation,,264.83,165422.25310496875,-24162.615444545,43808775.28978887
Equities,EA,Electronic Arts,,121.79,30767.43402035851,3216.827415021387,3747165.7893394628
Equities,SBUX,Starbucks,,97.7,104653.52709376332,-1358.9705293651866,10224649.597060677
Equities,MRNA,Moderna,,179.62,6720.292681810868,-1734.3978680735563,1207098.9715068683
Equities,TROW,T. Rowe Price,,106.64,6963.252384738122,2141.0482584926326,742561.2343084733
Equities,AMP,Ameriprise Financial,,307.6,20543.06184779008,-105807.9815158913,6319045.824380228
Equities,ATVI,Activision Blizzard,,75.73,85698.370697661,-23838.820455064655,6489937.612933868
Equities,JPM,JPMorgan Chase,,131.18,154628.29057267253,-37273.239692517396,20284139.15732318
Equities,WY,Weyerhaeuser,,29.8,81438.72747906421,12653.996500683897,2426874.0788761135
Equities,GWW,W. W. Grainger,,551.81,7724.139386967321,27716.36518018818,4262257.355122437
Equities,LDOS,Leidos,,104.33,102760.48882415767,-1551.8846283154903,10721001.79902437
Equities,PTC,PTC,,120.04,116213.08567871065,58484.93210253242,13950218.804872427
Equities,JNJ,Johnson & Johnson,,172.82,9840.277451199165,3253.912893271561,1700596.7491162396
Equities,PEG,Public Service Enterprise Group,,60.13,155128.33712979278,-5567.148604147824,9327866.91161444
Equities,RTX,RTX Corporation,,99.06,135434.54228852704,-15703.9870365547,13416145.75910149
Equities,TTWO,Take-Two Interactive,,104.13,154369.8387763283,31859.797224025468,16074531.311779067
Equities,AJG,Arthur J. Gallagher & Co.,,187.47,170800.39816942922,25899.77732047555,32019950.644822896
Equities,BG,Bunge Limited,,97.87,194027.20927505952,76179.95684279858,18989442.971750077
Equities,PH,Parker Hannifin,,287.52,165540.45709526932,-210191.91888535622,47596192.22403183
Equities,KLAC,KLA Corporation,,373.54,68260.75698534811,-153676.7893990166,25498123.164306935
Equities,DOW,Dow Inc.,,49.08,146986.2524561045,-7883.687475030109,7214085.270545608
Equities,CPRT,Copart,,30.44,181002.24879650158,106674.66518426618,5509708.4533655085
Equities,CCL,Carnival,,8.06,3386.4214773175104,-293.53080963206,27294.557107179135
Equities,AEP,American Electric Power,,92.27,22243.09729720522,9041.376810056814,2052370.5876131253
Equities,HCA,HCA Healthcare,,238.87,20765.206182910366,61.35414969988009,4960184.800911799
Equities,QRVO,Qorvo,,90.64,181490.89808665865,53343.01757619441,16450335.00257474
Equities,MCK,McKesson,,374.02,184237.43468345763,-116029.52825820536,68908485.32030682
Equities,CRL,Charles River Laboratories,,217.9,107237.36258613014,-136915.53182150502,23367021.30751776
Equities,IQV,IQVIA,,204.89,107466.26338489926,139789.18548085366,22018762.704932008
Government Bond,NL0011819040,NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,NL0011819040,104.36,30826.762060717105,-203.59971670814022,3217080.888656437
Government Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,IT0003745541,179.58,4059.946531187644,-282.9116223653728,729085.1980706771
Government Bond,GB00B73ZYW09,UNITED KINGDOM I/L GILT 0.25% 03/22/2052 REGS,GB00B73ZYW09,271.54,4968.162045628652,-1123.5456875791383,1349054.7218700042
Government Bond,GB00B7RN0G65,UNITED KINGDOM I/L GILT 0.125% 03/22/2044 REGS,GB00B7RN0G65,225.21,4675.579390459787,199.58365285387322,1052987.2345254486
Government Bond,US912828B253,TSY INFL IX N/B 0.625% 01/15/2024,US912828B253,126.4,1809.4630997529148,-1.257088917593082,228716.13580876845
Government Bond,GB00BNNGP882,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,GB00BNNGP882,213.1,1309.19868321249,213.58728907480946,278990.2393925816
Government Bond,US9128283R96,TSY INFL IX N/B 0.5% 01/15/2028 ,US9128283R96,125.77,11438.66215375029,88.25740823868821,1438640.539077174
Government Bond,US912810QV35,TSY INFL IX N/B 0.75% 02/15/2042,US912810QV35,154.94,8644.503363541085,-14.765180652731612,1339379.3511470559
Government Bond,GB00BMBL1F74,UNITED KINGDOM GILT 0.625% 10/22/2050 REGS,GB00BMBL1F74,88.08,6646.42941491401,632.5591915336289,585417.502865626
Government Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,US912828WU04,124.39,13511.071953732142,86.8709935651381,1680642.2403247412
Government Bond,ES0000012C12,SPAIN I/L BOND 0.7 % 11/30/2033 144A ,ES0000012C12,130.68,5292.25583694158,-80.97642676944554,691591.9927715258
Government Bond,GB00B4PTCY75,UNITED KINGDOM I/L GILT 0.375% 03/22/2062 REGS,GB00B4PTCY75,350.3,4908.081110840709,-117.81756923045599,1719300.8131275002
Government Bond,GB00B54QLM75,UNITED KINGDOM GILT 4% 01/22/2060 REGS,GB00B54QLM75,194.86,8377.246475437732,317.28756927220957,1632390.2482037966
