FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,ALL,FIN-Allstate,,127.72,221323.56982501337,36719.29088349124,28267446.33805071
Equities,ALB,FIN-Albemarle Corporation,,253.39,166474.7026325054,395367.26488383324,42183024.900050536
Equities,AKAM,FIN-Akamai,,72.6,42638.907487743134,-108326.53950729218,3095584.683610151
Equities,MTD,FIN-Mettler Toledo,,1433.71,86811.22434316493,267008.04817656486,124462120.45303899
Equities,CARR,FIN-Carrier Global,,44.66,9170.355398327289,-164.4658654384009,409548.0720892967
Equities,SJM,FIN-J.M. Smucker Company (The),,145.85,94944.21519185093,-6447.444576549313,13847613.785731459
Equities,VZ,FIN-Verizon,,37.51,177949.9552244032,33272.830864702766,6674902.820467364
Equities,VMC,FIN-Vulcan Materials Company,,179.74,201799.03137034937,5464.657327086845,36271357.8985066
Equities,STZ,FIN-Constellation Brands,,222.1,68662.74637624352,16761.218329338488,15249995.970163686
Equities,KEYS,FIN-Keysight,,159.96,252423.14711094764,-74108.15155656675,40377606.61186719
Equities,HRL,FIN-Hormel Foods,,43.77,136482.01039190745,-17421.77024679751,5973817.59485379
Equities,ABC,FIN-AmerisourceBergen,,154.71,17888.95127658662,-8250.598415602673,2767599.652000716
Equities,CRL,FIN-Charles River Laboratories,,219.34,230138.07594822324,911567.336383087,50478485.57848328
Equities,FTV,FIN-Fortive,,66.59,149605.96256854397,-17516.072366402634,9962261.047439344
Equities,WHR,FIN-Whirlpool Corporation,,132.66,129671.06351295662,214810.83535944668,17202163.285628825
Equities,COP,FIN-ConocoPhillips,,101.14,57219.573823284445,-60486.6660151021,5787187.696486989
Equities,AON,FIN-Aon,,302.9,170455.34890380158,202361.05056152734,51630925.182961494
Equities,TMO,FIN-Thermo Fisher Scientific,,541.05,194826.11740534278,-543146.4382941487,105410670.8221607
Equities,CDNS,FIN-Cadence Design Systems,,192.94,180625.62839501386,17583.81155402306,34849908.742533974
Equities,EG,FIN-Everest Re,,380.41,165535.8048347738,-198003.2782797742,62971475.517196305
Equities,FMC,FIN-FMC Corporation,,127.81,200047.3292955477,-136731.17910565922,25568049.157263953
Equities,CSX,FIN-CSX,,30.38,216801.02654634838,8778.28619235671,6586415.186478063
Equities,MA,FIN-Mastercard,,354.22,50984.58322183538,48394.35511123667,18059759.06883853
Equities,EPAM,FIN-EPAM Systems,,307.65,25951.679417879823,-42553.47067452794,7984034.172910727
Equities,LEN,FIN-Lennar,,96.13,182291.6462527015,-20578.066725724006,17523695.954272196
Equities,ADSK,FIN-Autodesk,,198.69,83413.04931871797,-141997.97516430545,16573338.769136073
Equities,HII,FIN-Huntington Ingalls Industries,,212.68,83738.79778609083,12775.318848580957,17809567.513145797
Equities,XYL,FIN-Xylem Inc.,,102.31,91087.18840222362,21283.0688770855,9319130.2454315
Equities,MPWR,FIN-Monolithic Power Systems,,482.39,55903.87988696384,-683949.4897355582,26967472.618672486
Equities,JBHT,FIN-J.B. Hunt,,179.99,129781.98292779623,135564.32335513976,23359459.107174043
Equities,MPC,FIN-Marathon Petroleum,,122.14,23870.270413316986,10887.866254249755,2915514.828282537
Equities,MAR,FIN-Marriott International,,168.29,205180.46539761234,-75749.23110121125,34529820.52176418
Equities,LLY,FIN-Eli Lilly and Company,,309.75,166620.91833697428,434766.7110719114,51610829.45487779
Equities,TXN,FIN-Texas Instruments,,168.95,125665.09957596846,28315.87107930867,21231118.57335987
Equities,ITW,FIN-Illinois Tool Works,,230.66,162770.48898466083,14480.426522353171,37544640.989201866
Equities,BBY,FIN-Best Buy,,81.15,77886.70595274608,-13449.27181058415,6320506.1880653445
Equities,BEN,FIN-Franklin Templeton,,28.81,140766.38618354136,4408.99725909481,4055479.585947826
Equities,IQV,FIN-IQVIA,,208.47,138004.36905208533,511458.45206778403,28769770.81628823
