FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE
Equities,FICO,Fair Isaac,,727.95,80962.90864512917,-17584.0037580376,58936949.34822178
Equities,CI,Cigna,,252.1,64751.9001970611,29369.06784815264,16323954.039679103
Equities,DFS,Discover Financial,,101.95,32287.843082665633,7898.428850263908,3291745.6022777613
Equities,NFLX,Netflix,,329.93,60545.557969471665,-134119.83000841763,19975795.940867785
Equities,PRU,Prudential Financial,,84.52,36746.08538427318,-8685.372598160973,3105779.1366787693
Equities,HIG,Hartford (The),,70.55,98634.4051950633,-7455.122938372188,6958657.2865117155
Equities,RF,Regions Financial Corporation,,18.05,105146.40770458936,3049.8267428127288,1897892.6590678382
Equities,PFE,Pfizer,,38.05,182319.75920802142,-10145.956245977452,6937266.837865215
Equities,SO,Southern Company,,72.11,98166.09354296025,44768.1029216247,7078757.005382864
Equities,TMO,Thermo Fisher Scientific,,554.53,182748.7605261677,315537.0689918842,101339670.17457576
Equities,ON,ON Semiconductor,,71.96,180542.80926838182,-313600.5368406266,12991860.554952756
Equities,WHR,Whirlpool Corporation,,135.95,21016.969762713354,1481.2795831853953,2857257.0392408804
Equities,K,Kellogg's,,69.15,151452.8891519424,-68848.11889188549,10472967.284856817
Equities,A,Agilent Technologies,,135.17,172068.2929337501,35545.222929001065,23258471.155855
Equities,LYB,LyondellBasell,,92.08,3332.8474978799,377.40650482801755,306888.59760478116
Equities,CLX,Clorox,,164.41,28112.826277448003,15723.399926301496,4622029.7682752265
Equities,CNC,Centene Corporation,,68.93,109097.09626724465,-44658.72328233163,7520062.845701174
Equities,ATO,Atmos Energy,,112.69,50484.29638398081,-15048.487217825787,5689075.359510797
Equities,LUV,Southwest Airlines,,30.13,204813.86936684645,70849.23328102959,6171041.884023083
Equities,ZTS,Zoetis,,175.39,190782.46879304457,274506.0070626836,33461337.201612085
Equities,PGR,Progressive Corporation,,136.3,84801.8084455949,88348.7471199016,11558486.491134586
Equities,CHTR,Charter Communications,,368.7,2800.861294419803,-1438.034803477593,1032677.5592525813
Equities,NTAP,NetApp,,62.48,118668.07063199693,-2257.273082673855,7414381.053087168
Equities,FTNT,Fortinet,,63.05,126077.65910020252,-29183.418653802008,7949196.406267769
Equities,MSFT,Microsoft,,305.94,176110.29612632588,84422.87320555618,53879183.99688814
Equities,MO,Altria,,46.53,103878.92242291379,27092.617328253124,4833486.260338179
Equities,NVDA,Nvidia,,277.46,182118.22549938541,8399.635608215218,50530522.84705947
Equities,FFIV,"F5, Inc.",,134.36,192691.6133800353,-271329.82080021634,25890045.173741546
Equities,IDXX,Idexx Laboratories,,492.16,78050.39508273492,-54235.48500180541,38413282.44391882
Equities,INTC,Intel,,30.82,89627.5614214337,5311.2628990479325,2762321.4430085868
Equities,SYK,Stryker Corporation,,298.9,83235.8785625427,310010.7799310321,24879204.10234401
Equities,VLO,Valero Energy,,112.72,36727.999900768766,-64248.68014943911,4139980.1488146554
Equities,NOC,Northrop Grumman,,457.29,159495.33304858746,-3050.5433374416275,72935620.84978856
Equities,DHI,D.R. Horton,,109.34,28794.546634903156,51537.455036707615,3148395.7290603113
Equities,ANSS,Ansys,,313.92,40394.644001743385,-51694.836279104435,12680686.645027284
Equities,TJX,TJX Companies,,78.19,127171.31899891299,-13069.18460425876,9943525.432525007
Equities,EMR,Emerson Electric,,82.29,9710.334958397621,7812.840152668049,799063.4637265403
Equities,MLM,Martin Marietta Materials,,362.6,169161.71686971397,-133219.241177005,61338038.53695829
Equities,DHR,Danaher Corporation,,236.64,167354.60170853118,121033.56315313422,39602792.948306814
Equities,EA,Electronic Arts,,127.09,29428.152781525805,47307.85760721563,3740023.9370041145
Equities,SBUX,Starbucks,,113.12,101234.34700481518,110708.75171236404,11451629.333184693
Equities,MRNA,Moderna,,132.89,6723.705037189059,6283.545316956066,893513.162392054
Equities,TROW,T. Rowe Price,,111.1,6823.34581423226,225.6249376060396,758073.719961204
Equities,AMP,Ameriprise Financial,,302.5,21201.032211813017,-3869.965883828823,6413312.2440734375
Equities,ATVI,Activision Blizzard,,76.88,81904.10450554201,-127678.7362436502,6296787.554386069
Equities,JPM,JPMorgan Chase,,137.3,156417.45674456604,-2111.374416123585,21476116.81102892
Equities,WY,Weyerhaeuser,,29.71,79736.64461642217,1166.9163439694819,2368975.711553903
Equities,GWW,W. W. Grainger,,691.82,7422.3506773200415,-353.13783337832575,5134930.645583551
Equities,LDOS,Leidos,,92.86,103455.51736758776,-11390.169263973965,9606879.3427542
Equities,PTC,PTC,,125.79,115601.31860650842,64269.52964079907,14541489.867512694
Equities,JNJ,Johnson & Johnson,,161.3,9663.51744260883,-15475.864254812011,1558725.3634928046
Equities,PEG,Public Service Enterprise Group,,62.63,155843.63506416933,-28649.96513752918,9760486.864068925
Equities,RTX,RTX Corporation,,98.6,136079.27271368259,36724.942430350085,13417416.289569102
Equities,TTWO,Take-Two Interactive,,124.29,149394.6246349247,45208.41961020486,18568257.89587479
Equities,AJG,Arthur J. Gallagher & Co.,,207.49,169885.27270410574,605899.3906352064,35249495.2333749
Equities,BG,Bunge Limited,,92.39,194065.29116108018,4341.33500635097,17929692.250372197
Equities,PH,Parker Hannifin,,322.21,162093.43218643512,-227041.54281774105,52228124.78479126
Equities,KLAC,KLA Corporation,,384.19,70035.18178200784,148292.77508330758,26906816.488829594
